11,"economy, business and finance",777
11,labour,145
11,health,104
11,lifestyle and leisure,95
11,politics,82
11,"arts, culture and entertainment",68
11,social issue,50
11,"crime, law and justice",45
11,science and technology,21
11,sport,14
11,education,13
11,religion and belief,13
11,environmental issue,10
11,disaster and accident,8
11,"unrest, conflicts and war",4
11,human interest,2
12,"arts, culture and entertainment",121
12,"economy, business and finance",103
12,sport,92
12,"crime, law and justice",48
12,lifestyle and leisure,46
12,politics,45
12,social issue,41
12,health,31
12,labour,29
12,disaster and accident,23
12,education,13
12,environmental issue,12
12,science and technology,5
12,religion and belief,4
12,human interest,3
12,weather,3
12,"unrest, conflicts and war",1
14,"economy, business and finance",74
14,politics,55
14,health,33
14,"crime, law and justice",32
14,"unrest, conflicts and war",29
14,social issue,19
14,"arts, culture and entertainment",10
14,disaster and accident,10
14,science and technology,10
14,lifestyle and leisure,8
14,religion and belief,8
14,environmental issue,6
14,sport,6
14,labour,4
14,weather,3
14,human interest,2
15,health,40
15,"economy, business and finance",36
15,sport,31
15,lifestyle and leisure,26
15,"arts, culture and entertainment",22
15,social issue,15
15,politics,11
15,science and technology,10
15,"crime, law and justice",9
15,disaster and accident,5
15,labour,5
15,religion and belief,5
15,"unrest, conflicts and war",5
15,environmental issue,1
15,human interest,1
15,weather,1
18,"economy, business and finance",1983
18,lifestyle and leisure,321
18,labour,121
18,sport,120
18,health,106
18,weather,73
18,"arts, culture and entertainment",65
18,environmental issue,57
18,disaster and accident,47
18,science and technology,40
18,politics,30
18,religion and belief,24
18,education,16
18,"crime, law and justice",14
18,social issue,11
18,human interest,7
18,"unrest, conflicts and war",1
21,"economy, business and finance",28
21,health,28
21,politics,25
21,"crime, law and justice",12
21,"unrest, conflicts and war",9
21,social issue,7
21,disaster and accident,5
21,labour,5
21,sport,4
21,environmental issue,3
21,lifestyle and leisure,3
21,religion and belief,3
21,"arts, culture and entertainment",2
21,human interest,2
21,education,1
22,health,4
22,politics,4
22,"unrest, conflicts and war",3
22,"crime, law and justice",2
22,"economy, business and finance",2
22,human interest,2
22,"arts, culture and entertainment",1
22,environmental issue,1
22,lifestyle and leisure,1
22,religion and belief,1
22,sport,1
24,"crime, law and justice",1
25,politics,4
25,"economy, business and finance",1
25,human interest,1
26,"economy, business and finance",6
26,"crime, law and justice",5
26,health,5
26,politics,5
26,lifestyle and leisure,3
26,sport,3
26,"arts, culture and entertainment",2
26,social issue,2
26,environmental issue,1
26,human interest,1
26,religion and belief,1
27,"economy, business and finance",15
27,sport,15
27,"crime, law and justice",10
27,health,7
27,social issue,7
27,disaster and accident,5
27,politics,5
27,labour,4
27,religion and belief,3
27,"arts, culture and entertainment",2
27,education,2
27,lifestyle and leisure,2
27,environmental issue,1
27,human interest,1
27,science and technology,1
27,"unrest, conflicts and war",1
28,"crime, law and justice",1
28,politics,1
29,environmental issue,1
31,politics,1
31,"unrest, conflicts and war",1
32,health,14
32,"economy, business and finance",12
32,politics,9
32,"crime, law and justice",8
32,religion and belief,6
32,lifestyle and leisure,5
32,social issue,5
32,"arts, culture and entertainment",3
32,disaster and accident,2
32,science and technology,2
32,environmental issue,1
32,human interest,1
32,sport,1
32,"unrest, conflicts and war",1
33,"crime, law and justice",1
33,"economy, business and finance",1
33,health,1
33,lifestyle and leisure,1
34,health,6
34,disaster and accident,2
34,"unrest, conflicts and war",2
34,"economy, business and finance",1
34,labour,1
34,politics,1
35,"crime, law and justice",22
35,"economy, business and finance",19
35,health,18
35,politics,18
35,social issue,18
35,"unrest, conflicts and war",8
35,environmental issue,7
35,lifestyle and leisure,6
35,sport,6
35,"arts, culture and entertainment",5
35,disaster and accident,5
35,religion and belief,5
35,education,4
35,labour,3
35,weather,1
36,"economy, business and finance",1
36,education,1
36,"unrest, conflicts and war",1
37,politics,9
37,health,4
37,"unrest, conflicts and war",3
37,"crime, law and justice",1
37,human interest,1
37,social issue,1
38,sport,10
38,"economy, business and finance",9
38,"unrest, conflicts and war",3
38,disaster and accident,2
38,health,2
38,politics,2
38,"arts, culture and entertainment",1
38,"crime, law and justice",1
38,labour,1
38,religion and belief,1
39,"crime, law and justice",2
39,disaster and accident,2
39,"economy, business and finance",2
39,sport,2
39,environmental issue,1
39,health,1
39,politics,1
39,science and technology,1
40,"arts, culture and entertainment",195
40,"economy, business and finance",173
40,"crime, law and justice",106
40,social issue,83
40,health,67
40,lifestyle and leisure,56
40,politics,53
40,science and technology,34
40,sport,34
40,labour,32
40,education,28
40,religion and belief,23
40,disaster and accident,15
40,environmental issue,8
40,human interest,8
40,"unrest, conflicts and war",3
43,health,218
43,"crime, law and justice",185
43,"economy, business and finance",103
43,"arts, culture and entertainment",69
43,social issue,47
43,politics,46
43,lifestyle and leisure,34
43,"unrest, conflicts and war",30
43,religion and belief,21
43,education,16
43,disaster and accident,13
